source	repo	commit	license	upstream_path	stored_path	bytes	sha256
apache-poi	https://github.com/apache/poi	32a2220d127f52ed3fc2915c317ae6c0d50d1548	Apache-2.0	test-data/spreadsheet/58106.xlsx	files/apache-poi/58106.xlsx	9111	88c0e478f174b166190abfd0cf416a033d03252049a998441b98f9841613761f
apache-poi	https://github.com/apache/poi	32a2220d127f52ed3fc2915c317ae6c0d50d1548	Apache-2.0	test-data/spreadsheet/bug63189.xlsx	files/apache-poi/bug63189.xlsx	11027	0671f497436a34ac15ae63f22407e6eb791be03efde38f87b10adf41e2051104
apache-poi	https://github.com/apache/poi	32a2220d127f52ed3fc2915c317ae6c0d50d1548	Apache-2.0	test-data/spreadsheet/GeneralFormatTests.xlsx	files/apache-poi/GeneralFormatTests.xlsx	36134	607ff06ff0295d0920d81b27e09b91e86301b9f3862d1d22b093f8f8c5a4de28
apache-poi	https://github.com/apache/poi	32a2220d127f52ed3fc2915c317ae6c0d50d1548	Apache-2.0	test-data/spreadsheet/picture.xlsx	files/apache-poi/picture.xlsx	428616	fea2f13189e87d06297d7b5313abca4d0b6cd8747d5ca450e4db11273b265279
apache-poi	https://github.com/apache/poi	32a2220d127f52ed3fc2915c317ae6c0d50d1548	Apache-2.0	test-data/spreadsheet/53101.xlsx	files/apache-poi/53101.xlsx	9448	8b494d0eb63786f8c3a1ca64c7f3f4d2d07de27c1c02d073dd3720d0c87526dd
apache-poi	https://github.com/apache/poi	32a2220d127f52ed3fc2915c317ae6c0d50d1548	Apache-2.0	test-data/spreadsheet/60289.xlsx	files/apache-poi/60289.xlsx	8570	1b9826bf19b72647a212be454a8ad9808c71df82b026d1cdc9247544386a7ece
apache-poi	https://github.com/apache/poi	32a2220d127f52ed3fc2915c317ae6c0d50d1548	Apache-2.0	test-data/spreadsheet/50795.xlsx	files/apache-poi/50795.xlsx	11594	3c997b1d8529219326dd8191512751de7b50fd4b1215b59f659fe2fd933764de
apache-poi	https://github.com/apache/poi	32a2220d127f52ed3fc2915c317ae6c0d50d1548	Apache-2.0	test-data/spreadsheet/59388.xlsx	files/apache-poi/59388.xlsx	14534	d4108db1115be3c902bf8d5bd39d8ce268e13a229b5ab410eb3b46f0c9f96fcc
apache-poi	https://github.com/apache/poi	32a2220d127f52ed3fc2915c317ae6c0d50d1548	Apache-2.0	test-data/spreadsheet/TestShiftRowSharedFormula.xlsx	files/apache-poi/TestShiftRowSharedFormula.xlsx	8527	21f222c39b70fee2aad244b70a06123aa3bbd2e99ba29cfbc2ed157bcae095cd
apache-poi	https://github.com/apache/poi	32a2220d127f52ed3fc2915c317ae6c0d50d1548	Apache-2.0	test-data/spreadsheet/FormatKM.xlsx	files/apache-poi/FormatKM.xlsx	11590	ab5b08e968898f40477c2599dab9285c4557e6f212f3b942011e6588018244e0
apache-poi	https://github.com/apache/poi	32a2220d127f52ed3fc2915c317ae6c0d50d1548	Apache-2.0	test-data/spreadsheet/60509.xlsx	files/apache-poi/60509.xlsx	12057	9890bc6a8630a0c2e371ae643b2743395adf3fc7c49e289799c853919105d99d
apache-poi	https://github.com/apache/poi	32a2220d127f52ed3fc2915c317ae6c0d50d1548	Apache-2.0	test-data/spreadsheet/47504.xlsx	files/apache-poi/47504.xlsx	30048	37e7a84e23ba6df5d7a160d760101f309e1580f79e37d461b211177c83e6fd4f
apache-poi	https://github.com/apache/poi	32a2220d127f52ed3fc2915c317ae6c0d50d1548	Apache-2.0	test-data/spreadsheet/56315.xlsx	files/apache-poi/56315.xlsx	7815	697d648d16ff68992300bdc24ea0937505e822d6dce1735e402552a07339d53b
apache-poi	https://github.com/apache/poi	32a2220d127f52ed3fc2915c317ae6c0d50d1548	Apache-2.0	test-data/spreadsheet/clusterfuzz-testcase-minimized-XLSX2CSVFuzzer-5542865479270400.xlsx	files/apache-poi/clusterfuzz-testcase-minimized-XLSX2CSVFuzzer-5542865479270400.xlsx	9344	11d74c8026c6635b4175d6250cae75d4cace74e1d92e71124a3863bc7bcb3274
apache-poi	https://github.com/apache/poi	32a2220d127f52ed3fc2915c317ae6c0d50d1548	Apache-2.0	test-data/spreadsheet/ShrinkToFit.xlsx	files/apache-poi/ShrinkToFit.xlsx	6145	a07b41551780d0a40755f74ea85bf21a327330e8e922504365283678e2d0038e
apache-poi	https://github.com/apache/poi	32a2220d127f52ed3fc2915c317ae6c0d50d1548	Apache-2.0	test-data/spreadsheet/55850.xlsx	files/apache-poi/55850.xlsx	12464	fc8393fc5f9d4d8b436aa65abb6b79ed744ab5c71ff0bcf42b2aade78a5a8a5f
apache-poi	https://github.com/apache/poi	32a2220d127f52ed3fc2915c317ae6c0d50d1548	Apache-2.0	test-data/spreadsheet/54607.xlsx	files/apache-poi/54607.xlsx	8532	c27ca48e67ad3e8a6dca800628dac949863c9da54d09b29bb9aa63567bad3b06
apache-poi	https://github.com/apache/poi	32a2220d127f52ed3fc2915c317ae6c0d50d1548	Apache-2.0	test-data/spreadsheet/workbookProtection_worksheet_protected.xlsx	files/apache-poi/workbookProtection_worksheet_protected.xlsx	28754	95a35c2e6b9a3f73539a67c63105b6a69d68f52a39eb768ed47f419e7fb8f7cd
apache-poi	https://github.com/apache/poi	32a2220d127f52ed3fc2915c317ae6c0d50d1548	Apache-2.0	test-data/spreadsheet/49609.xlsx	files/apache-poi/49609.xlsx	105424	4237e7a06cfba518904fac9d2085bc38c4912290c9c698acd38234b86691c546
apache-poi	https://github.com/apache/poi	32a2220d127f52ed3fc2915c317ae6c0d50d1548	Apache-2.0	test-data/spreadsheet/NumberFormatApproxTests.xlsx	files/apache-poi/NumberFormatApproxTests.xlsx	58079	0ed1e83006006bde250044e4f776238b11baea158ef27cd4b95be2363b98004a
apache-poi	https://github.com/apache/poi	32a2220d127f52ed3fc2915c317ae6c0d50d1548	Apache-2.0	test-data/spreadsheet/clusterfuzz-testcase-minimized-POIXSSFFuzzer-6419366255919104.xlsx	files/apache-poi/clusterfuzz-testcase-minimized-POIXSSFFuzzer-6419366255919104.xlsx	8420	0a98e11497a7596b6b0d8e4dee5a537b7a02d3cc558d06ee05a6563399d14ffd
apache-poi	https://github.com/apache/poi	32a2220d127f52ed3fc2915c317ae6c0d50d1548	Apache-2.0	test-data/spreadsheet/123233_charts.xlsx	files/apache-poi/123233_charts.xlsx	12957	47e9e8dea87494d17dbacce9aa3a9ec31cb2b26b288de05ca95c0a4622ca7f80
apache-poi	https://github.com/apache/poi	32a2220d127f52ed3fc2915c317ae6c0d50d1548	Apache-2.0	test-data/spreadsheet/conditional_formatting_multiple_ranges.xlsx	files/apache-poi/conditional_formatting_multiple_ranges.xlsx	9487	2ee236b3134d0494f44fc122b59ba883762a87415a332a3bd1cb972f7e0fcb0d
apache-poi	https://github.com/apache/poi	32a2220d127f52ed3fc2915c317ae6c0d50d1548	Apache-2.0	test-data/spreadsheet/DateFormatTests.xlsx	files/apache-poi/DateFormatTests.xlsx	12394	16445dc0deba00671ee4315015a970d415ce9886da59c974532d946e99276c66
apache-poi	https://github.com/apache/poi	32a2220d127f52ed3fc2915c317ae6c0d50d1548	Apache-2.0	test-data/spreadsheet/dataValidationTableRange.xlsx	files/apache-poi/dataValidationTableRange.xlsx	116554	2a41971477de7c0af993a6a8bc3082145230ef04d087170797d167e563da84da
apache-poi	https://github.com/apache/poi	32a2220d127f52ed3fc2915c317ae6c0d50d1548	Apache-2.0	test-data/spreadsheet/57535.xlsx	files/apache-poi/57535.xlsx	10175	106508ec8816a61ce51b1103c750823d965fb5d9eedfd5f8f063a4f846fe787f
apache-poi	https://github.com/apache/poi	32a2220d127f52ed3fc2915c317ae6c0d50d1548	Apache-2.0	test-data/spreadsheet/47889.xlsx	files/apache-poi/47889.xlsx	3555	a6d7f8a056622201862c354bd508820f7e57a84c5e2531e4e4da20180615f312
apache-poi	https://github.com/apache/poi	32a2220d127f52ed3fc2915c317ae6c0d50d1548	Apache-2.0	test-data/spreadsheet/57523.xlsx	files/apache-poi/57523.xlsx	50590	24b8c9f2ed26d56d2ab5b27ffe5e88db5080f76a584b98acfd9ba81f40761316
apache-poi	https://github.com/apache/poi	32a2220d127f52ed3fc2915c317ae6c0d50d1548	Apache-2.0	test-data/spreadsheet/WithEmbeded.xlsx	files/apache-poi/WithEmbeded.xlsx	23668	2bdaa7dbae4e739a5b1dc2654ccaeb15fe4d6a62cd47ab742db78100a7dcf9de
apache-poi	https://github.com/apache/poi	32a2220d127f52ed3fc2915c317ae6c0d50d1548	Apache-2.0	test-data/spreadsheet/no_drawing_patriarch.xlsx	files/apache-poi/no_drawing_patriarch.xlsx	672414	53403358038a3c62ae2d1c4994a03a7c236015a1fcaad67e222588d6f43dec14
apache-poi	https://github.com/apache/poi	32a2220d127f52ed3fc2915c317ae6c0d50d1548	Apache-2.0	test-data/spreadsheet/54071.xlsx	files/apache-poi/54071.xlsx	9150	627e4e6c512bf12a66856749070d03f1ea51936192d57b9077568bbf9c9c09a1
apache-poi	https://github.com/apache/poi	32a2220d127f52ed3fc2915c317ae6c0d50d1548	Apache-2.0	test-data/spreadsheet/55924.xlsx	files/apache-poi/55924.xlsx	9741	25189a83c958e37c236cf4324705f2de965f3bded911794834027c2f9e1b3daa
apache-poi	https://github.com/apache/poi	32a2220d127f52ed3fc2915c317ae6c0d50d1548	Apache-2.0	test-data/spreadsheet/MatrixFormulaEvalTestData.xlsx	files/apache-poi/MatrixFormulaEvalTestData.xlsx	14875	12f1dcef889c20fe54a09857790ba9803a7b061cc9fc5b85d0038cd6c86faa79
apache-poi	https://github.com/apache/poi	32a2220d127f52ed3fc2915c317ae6c0d50d1548	Apache-2.0	test-data/spreadsheet/BrNotClosed.xlsx	files/apache-poi/BrNotClosed.xlsx	9625	94fbe64babf5be655fb8bf1d0866f7ac66f1ff50e1039b1ac8cf84289600521e
apache-poi	https://github.com/apache/poi	32a2220d127f52ed3fc2915c317ae6c0d50d1548	Apache-2.0	test-data/spreadsheet/styles.xlsx	files/apache-poi/styles.xlsx	9309	4b544c197c391a8eb1711e9c6a962fd6371a96815dded21aa2461d71e27a046c
apache-poi	https://github.com/apache/poi	32a2220d127f52ed3fc2915c317ae6c0d50d1548	Apache-2.0	test-data/spreadsheet/53798.xlsx	files/apache-poi/53798.xlsx	9383	cf466036304f95dae2c3cdabf8b9ed69856c835f5987dcf6b71117d3d11ffcad
apache-poi	https://github.com/apache/poi	32a2220d127f52ed3fc2915c317ae6c0d50d1548	Apache-2.0	test-data/spreadsheet/SampleSS.xlsx	files/apache-poi/SampleSS.xlsx	9112	44f1b6ef310c370d4902ee3452e6174da25a67bdb09f47850d51b3287cb3db71
apache-poi	https://github.com/apache/poi	32a2220d127f52ed3fc2915c317ae6c0d50d1548	Apache-2.0	test-data/spreadsheet/WithMoreVariousData.xlsx	files/apache-poi/WithMoreVariousData.xlsx	11409	9cf5ac25bbe59ee30d954983e7803a854909be6d53e184933d4c47e8f6b248bb
